RID,AlignID,tmean,FoundIn,Name.1,MatchFactor.1,DB.Id.1,CAS.1,Formula.1,Name.2,MatchFactor.2,DB.Id.2,CAS.2,Formula.2,Name.3,MatchFactor.3,DB.Id.3,CAS.3,Formula.3,Name.4,MatchFactor.4,DB.Id.4,CAS.4,Formula.4,Name.5,MatchFactor.5,DB.Id.5,CAS.5,Formula.5,Name.6,MatchFactor.6,DB.Id.6,CAS.6,Formula.6,Name.7,MatchFactor.7,DB.Id.7,CAS.7,Formula.7,Name.8,MatchFactor.8,DB.Id.8,CAS.8,Formula.8,Name.9,MatchFactor.9,DB.Id.9,CAS.9,Formula.9,Name.10,MatchFactor.10,DB.Id.10,CAS.10,Formula.10,Name.11,MatchFactor.11,DB.Id.11,CAS.11,Formula.11,Name.12,MatchFactor.12,DB.Id.12,CAS.12,Formula.12,Name.13,MatchFactor.13,DB.Id.13,CAS.13,Formula.13,Name.14,MatchFactor.14,DB.Id.14,CAS.14,Formula.14,Name.15,MatchFactor.15,DB.Id.15,CAS.15,Formula.15,Name.16,MatchFactor.16,DB.Id.16,CAS.16,Formula.16,Name.17,MatchFactor.17,DB.Id.17,CAS.17,Formula.17,Name.18,MatchFactor.18,DB.Id.18,CAS.18,Formula.18,Name.19,MatchFactor.19,DB.Id.19,CAS.19,Formula.19,Name.20,MatchFactor.20,DB.Id.20,CAS.20,Formula.20
1,1,3.0141,100,"1,4-Butanediol, 2,3-dimethoxy-",85.4,230535,,C6H14O4,"2,2-Dimethoxybutane",84.57,273172,3453-99-4,C6H14O2,"Acetic acid, [(aminocarbonyl)amino]oxo-",84.13,86631,585-05-7,C3H4N2O4,"1-Propanol, 2-ethoxy-",83.41,105570,19089-47-5,C5H12O2,Lactic acid,83.06,106653,50-21-5,C3H6O3,"Ethanol, 2-[2-(2-methylpropoxy)ethoxy]-",82.37,108881,18912-80-6,C8H18O3,Pentaethylene glycol,82.2,343978,4792-15-8,C10H22O6,Pentaethylene glycol,82.1,343967,4792-15-8,C10H22O6,"1,4,7,10,13,16-Hexaoxacyclooctadecane",81.96,343664,17455-13-9,C12H24O6,"1,4,7,10,13,16-Hexaoxacyclooctadecane",81.76,343963,17455-13-9,C12H24O6,2-[2-[2-[2-[2-[2-[2-(2-Hydroxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,81.76,343960,5117-19-1,C16H34O9,Hexaethylene glycol,81.75,343968,2615-15-8,C12H26O7,Heptaethylene glycol,81.72,343969,5617-32-3,C14H30O8,Pentaethylene glycol,81.35,114411,4792-15-8,C10H22O6,"1,4,7,10,13,16-Hexaoxacyclooctadecane",81.34,113388,17455-13-9,C12H24O6,"3,6,9,12,15-Pentaoxanonadecan-1-ol",81.33,343730,1786-94-3,C14H30O6,"15,15'-Bi-1,4,7,10,13-pentaoxacyclohexadecane",81.08,274896,109773-67-3,C22H42O10,12-Crown-4,81.04,343627,294-93-9,C8H16O4,"1,4,7,10,13,16-Hexaoxacyclooctadecane",81.03,343962,17455-13-9,C12H24O6,"1,4,7,10,13,16-Hexaoxacyclooctadecane",80.93,343665,17455-13-9,C12H24O6
10,2,3.0417,100,"2,2-Dimethoxybutane",88.42,273172,3453-99-4,C6H14O2,"Acetic acid, [(aminocarbonyl)amino]oxo-",88,86631,585-05-7,C3H4N2O4,"1-Propanol, 2-ethoxy-",87.35,105570,19089-47-5,C5H12O2,"Ethanol, 2-[2-(2-methylpropoxy)ethoxy]-",86.89,108881,18912-80-6,C8H18O3,Lactic acid,86.14,106653,50-21-5,C3H6O3,"1,4-Butanediol, 2,3-dimethoxy-",85.94,230535,,C6H14O4,Pentaethylene glycol,85.72,343978,4792-15-8,C10H22O6,Pentaethylene glycol,85.7,343967,4792-15-8,C10H22O6,Hexaethylene glycol,85.1,343968,2615-15-8,C12H26O7,"1,4,7,10,13,16-Hexaoxacyclooctadecane",85.03,343664,17455-13-9,C12H24O6,Heptaethylene glycol,85,343969,5617-32-3,C14H30O8,2-[2-[2-[2-[2-[2-[2-(2-Hydroxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,84.94,343960,5117-19-1,C16H34O9,"1,4,7,10,13,16-Hexaoxacyclooctadecane",84.76,343963,17455-13-9,C12H24O6,Pentaethylene glycol,84.7,114411,4792-15-8,C10H22O6,"1,4,7,10,13,16-Hexaoxacyclooctadecane",84.54,113388,17455-13-9,C12H24O6,Paraldehyde,84.15,343603,123-63-7,C6H12O3,"1,4,7,10,13,16-Hexaoxacyclooctadecane",83.99,343962,17455-13-9,C12H24O6,"1,4,7,10,13,16-Hexaoxacyclooctadecane",83.92,343665,17455-13-9,C12H24O6,12-Crown-4,83.85,343627,294-93-9,C8H16O4,Paraldehyde,83.84,343602,123-63-7,C6H12O3
24,3,3.2406,100,"Propanoic acid, 2-hydroxy-, propyl ester",83.62,343653,616-09-1,C6H12O3,"Acetic acid, [(1-methylpropyl)thio]-",82.26,232157,22683-43-8,C6H12O2S,"2,5,8,11,14,17,20,23,25,28-Decaoxanonacosane, 10,19-diisobutyl-1-phenyl-",82.24,274779,,C33H60O10,"N2-(4-Methylphenyl)-4-(4-iodophenyl)-1,3-thiazol-2-amine",82.05,274672,,C16H13IN2S,2-(3-Chlorophenyl)ethylamine,81.98,407,13078-79-0,C8H10ClN,"ethane-1,2-diyl diethyl dicarbonate",81.93,114455,,C8H14O6,"Propanenitrile, 3-chloro-",80.91,344129,542-76-7,C3H4ClN,"Propanenitrile, 3-chloro-",80.68,344131,542-76-7,C3H4ClN,"Propanenitrile, 3-chloro-",80.47,344130,542-76-7,C3H4ClN,"Propanenitrile, 3-chloro-",80.47,129809,542-76-7,C3H4ClN,"Benzenepropanol, .gamma.-[(2-methoxyethoxy)methoxy]-.beta.-methyl-, (R*,s*)-(.+-.)-",79.92,274780,97991-46-3,C14H22O4,"(2S,3S)-4-Benzyloxy-2-methoxyethoxymethoxy-3-methylbutanol",79.65,274912,,C16H26O5,"Ethanol, 2-[2-(2-methylpropoxy)ethoxy]-",79.13,108881,18912-80-6,C8H18O3,2-Bromo-1-(chloromethyl)cyclopropane,79.02,127621,,C4H6BrCl,"1,3-Dichloro-2-butene",78.96,344236,926-57-8,C4H6Cl2,2-(3-Chlorophenyl)ethylamine,78.77,344901,13078-79-0,C8H10ClN,"1,3-Dichloro-2-butene",78.66,274730,926-57-8,C4H6Cl2,2-Amino-3-(propylthio)propionic acid,78.65,274709,,C6H13NO2S,"Cyclobutane, 1,2-dichloro-",78.51,234850,17437-39-7,C4H6Cl2,"Borane, chlorodipropyl-",78.51,234635,22086-53-9,C6H14BCl
7,4,3.0397,100,Trimethylsilyl propaneperoxoate,88.34,277401,,C6H14O3Si,"Benzene, 1-([2,3-dimethoxy-1-(methoxymethyl)propoxy]methyl)",85.08,277393,,C14H22O4,"Propiohydrazide, 2-benzylthio-N2-(4-bromobenzylideno)-",84.89,277394,,C17H17BrN2OS,1-[p-Tolylsulfonyl]-2-methylaziridine,84.73,177167,25856-77-3,C10H13NO2S,"L-Serine, O-(phenylmethyl)-",84.57,277045,4726-96-9,C10H13NO3,"Propiohydrazide, 2-benzylthio-N2-(3-bromobenzylideno)-",84.34,275849,,C17H17BrN2OS,1-[(bromomethyl)sulfonyl]-4-methylbenzene,84.23,276168,,C8H9BrO2S,"Benzene, 1-isothiocyanato-4-methyl-",84.16,327365,622-59-3,C8H7NS,"ethane-1,2-diyl diethyl dicarbonate",83.82,114455,,C8H14O6,N-(4-Tolylsulfonyl)azetidin-3-one,83.63,255563,76543-27-6,C10H11NO3S,N-(4-Tolylsulfonyl)azetidin-3-one,83.62,313348,76543-27-6,C10H11NO3S,Trimethylsilyl butaneperoxoate,83.55,277402,,C7H16O3Si,N-(4-Methylbenzenesulfonyl)-2-methylazetidin-3-one,83.41,173870,76543-28-7,C11H13NO3S,2-Methylmethcathinone,83.35,231440,1246815-51-9,C11H15NO,"Propiohydrazide, 2-benzylthio-N2-(4-chlorobenzylideno)-",83.34,276235,,C17H17ClN2OS,"5,6-Dicyano-3-(4-methylbenzoyl)-1-benzofuran-2-carboxylic acid",83.2,276239,,C19H10N2O4,"Benzene, 1-isothiocyanato-4-methyl-",83.07,327364,622-59-3,C8H7NS,"2-Oxo-2H-chromene-3-carboxylic acid, 4-benzyloxyphenyl ester",82.9,275398,,C23H16O5,"Benzene, 1-isothiocyanato-2-methyl-",82.79,327359,614-69-7,C8H7NS,"1,3,5,7-Tetroxane",82.72,234642,293-30-1,C4H8O4
15,5,3.0935,100,"2,2-Dimethoxybutane",86.18,273172,3453-99-4,C6H14O2,"1-Propanol, 2-ethoxy-",84.72,105570,19089-47-5,C5H12O2,"Acetic acid, [(aminocarbonyl)amino]oxo-",84.64,86631,585-05-7,C3H4N2O4,"Ethanol, 2-[2-(2-methylpropoxy)ethoxy]-",83.93,108881,18912-80-6,C8H18O3,"1,4-Butanediol, 2,3-dimethoxy-",83.63,230535,,C6H14O4,Lactic acid,82.99,106653,50-21-5,C3H6O3,"1,4,7,10,13,16-Hexaoxacyclooctadecane",81.65,343664,17455-13-9,C12H24O6,"(1S,1'S)-1,1'-Bis[2,5,8,11,14,17-hexaoxacyclooctadecane]",81.6,248773,95637-58-4,C24H46O12,Pentaethylene glycol,81.54,343967,4792-15-8,C10H22O6,Pentaethylene glycol,81.37,343978,4792-15-8,C10H22O6,2-[2-[2-[2-[2-[2-[2-(2-Hydroxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,81.25,343960,5117-19-1,C16H34O9,Heptaethylene glycol,81.24,343969,5617-32-3,C14H30O8,"1,4,7,10,13,16-Hexaoxacyclooctadecane",81.21,343963,17455-13-9,C12H24O6,"1,4,7,10,13,16-Hexaoxacyclooctadecane",81.16,113388,17455-13-9,C12H24O6,Paraldehyde,81.15,343603,123-63-7,C6H12O3,Hexaethylene glycol,81.15,343968,2615-15-8,C12H26O7,"3-(2,5,8,11,14-Pentaoxacyclohexadecyl)-1,5,8,11,14,17-hexooxacyclononadecane",81.08,274846,,C24H46O11,"1,4,7,10,13,16-Hexaoxacyclooctadecane",80.98,343665,17455-13-9,C12H24O6,4-O-Methyl-d-arabinose,80.84,273587,,C6H12O5,"1,4,7,10,13,16-Hexaoxacyclooctadecane",80.75,343962,17455-13-9,C12H24O6
4,6,3.0376,100,"3,6,9,12,15-Pentaoxanonadecan-1-ol",89.3,343730,1786-94-3,C14H30O6,"3,6,9,12-Tetraoxahexadecan-1-ol",88.7,109802,1559-34-8,C12H26O5,"3,6,9,12,15-Pentaoxanonadecan-1-ol",88.63,113396,1786-94-3,C14H30O6,Pentaethylene glycol,88.25,343978,4792-15-8,C10H22O6,Pentaethylene glycol,87.96,114411,4792-15-8,C10H22O6,Hexaethylene glycol,87.96,343968,2615-15-8,C12H26O7,Lactic acid,87.89,106653,50-21-5,C3H6O3,Pentaethylene glycol,87.89,343967,4792-15-8,C10H22O6,Heptaethylene glycol,87.76,343969,5617-32-3,C14H30O8,2-[2-[2-[2-[2-[2-[2-(2-Hydroxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,87.65,343960,5117-19-1,C16H34O9,"3-(2,5,8,11,14-Pentaoxacyclohexadecyl)-1,5,8,11,14,17-hexooxacyclononadecane",87.52,274846,,C24H46O11,"1,4,7,10,13,16-Hexaoxacyclooctadecane",87.34,113388,17455-13-9,C12H24O6,"Ethanol, 2-[2-(2-methylpropoxy)ethoxy]-",87.29,108881,18912-80-6,C8H18O3,"1,4,7,10,13,16-Hexaoxacyclooctadecane",87.21,343664,17455-13-9,C12H24O6,"Acetic acid, [(1-methylpropyl)thio]-",87.17,232157,22683-43-8,C6H12O2S,"Ethanol, 2-[2-(2-methoxyethoxy)ethoxy]-",87.13,109855,112-35-6,C7H16O4,"1,4,7,10,13,16-Hexaoxacyclooctadecane",86.99,343963,17455-13-9,C12H24O6,Hexaethylene glycol,86.87,114412,2615-15-8,C12H26O7,Pentaethylene glycol,86.8,343966,4792-15-8,C10H22O6,Tetraethyleneglycol monomethylether,86.75,109867,23783-42-8,C9H20O5
18,7,3.1308,100,Trimethylsilyl propaneperoxoate,85.31,277401,,C6H14O3Si,Methoxyphenamine,82.96,347598,93-30-1,C11H17NO,"L-Serine, O-(phenylmethyl)-",82.77,277045,4726-96-9,C10H13NO3,1-[(bromomethyl)sulfonyl]-4-methylbenzene,82.68,276168,,C8H9BrO2S,"Benzene, 1-([2,3-dimethoxy-1-(methoxymethyl)propoxy]methyl)",82.63,277393,,C14H22O4,"Propiohydrazide, 2-benzylthio-N2-(4-bromobenzylideno)-",82.61,277394,,C17H17BrN2OS,Methoxyphenamine,82.58,347597,93-30-1,C11H17NO,1-[p-Tolylsulfonyl]-2-methylaziridine,82.53,177167,25856-77-3,C10H13NO2S,"Benzene, 1-isothiocyanato-4-methyl-",82.37,327365,622-59-3,C8H7NS,"Propiohydrazide, 2-benzylthio-N2-(3-bromobenzylideno)-",81.97,275849,,C17H17BrN2OS,N-(4-Tolylsulfonyl)azetidin-3-one,81.69,313348,76543-27-6,C10H11NO3S,N-(4-Tolylsulfonyl)azetidin-3-one,81.62,255563,76543-27-6,C10H11NO3S,"N-Benzyl-N'-(1-benzylamino-2,2,2-trichloroethyl)-p-tolylcarboxamidine",81.62,276258,54683-08-8,C24H24Cl3N3,N-(4-Methylbenzenesulfonyl)-2-methylazetidin-3-one,81.49,173870,76543-28-7,C11H13NO3S,Glycine benzyl ester,81.36,276294,1738-68-7,C9H11NO2,Methoxyphenamine,81.28,347591,93-30-1,C11H17NO,"2-[(2-Methylphenyl)sulfonyl]ethanol, acetate",81.23,275677,,C11H14O4S,"Propiohydrazide, 2-benzylthio-N2-benzylideno-",81.22,276185,339241-51-9,C17H18N2OS,"Benzene, 1-isothiocyanato-4-methyl-",80.99,327364,622-59-3,C8H7NS,"5,6-Dicyano-3-(4-methylbenzoyl)-1-benzofuran-2-carboxylic acid",80.92,276239,,C19H10N2O4
16,8,3.1046,100,Methoxyphenamine,94.11,347598,93-30-1,C11H17NO,Methoxyphenamine,94,347597,93-30-1,C11H17NO,Methoxyphenamine,91.99,231469,93-30-1,C11H17NO,Glycine benzyl ester,91.64,276294,1738-68-7,C9H11NO2,"Acetamide, 2-(1-methyl-3-phenylthio-2-indolyl)-N-benzyl-",91.42,275891,310456-81-6,C24H22N2OS,"2-Propanone, 1-(2-methoxyphenyl)-, oxime",91.26,280319,43021-97-2,C10H13NO2,"Benzenamine, N-[(3-nitrophenyl)methylene]-, N-oxide",91.09,312597,19865-57-7,C13H10N2O3,"Propiohydrazide, 2-benzylthio-N2-benzylideno-",90.94,276185,339241-51-9,C17H18N2OS,"Benzenemethanamine, N-methyl-N-nitroso-",90.7,275499,937-40-6,C8H10N2O,1-[(bromomethyl)sulfonyl]-4-methylbenzene,90.66,276168,,C8H9BrO2S,Benzeneethanamine,90.56,344900,64-04-0,C8H11N,Methoxyphenamine,90.39,347591,93-30-1,C11H17NO,"1,3-Dioxolane, 2-(phenylmethyl)-",90.35,248917,101-49-5,C10H12O2,"Benzene, 1-isothiocyanato-4-methyl-",90.31,327365,622-59-3,C8H7NS,"4-Benzyl-6-methyl-2H-1,4-benzoxazin-3-one",90.28,276172,,C16H15NO2,N-carbobenzyloxy-cysteinylcysteine,90.26,276253,189388-08-7,C14H18N2O5S2,"1,3-Dioxolane, 2-(phenylmethyl)-",90.2,307447,101-49-5,C10H12O2,"N-Benzyl-N'-(1-benzylamino-2,2,2-trichloroethyl)-p-tolylcarboxamidine",90.15,276258,54683-08-8,C24H24Cl3N3,"2-Propanone, 1,1,1,3,3,3-hexafluoro-, o-(phenylmethyl)oxime",90.13,276254,74387-54-5,C10H7F6NO,"Benzene, 1-isothiocyanato-4-methyl-",89.95,327364,622-59-3,C8H7NS
25,9,3.2539,99,"3,6,9,12,15-Pentaoxanonadecan-1-ol",91.34,343730,1786-94-3,C14H30O6,"Butanoic acid, 3-(ethylthio)-",91.01,234638,89534-40-7,C6H12O2S,Pentaethylene glycol,90.9,343978,4792-15-8,C10H22O6,"Ethanol, 2-[2-(ethenyloxy)ethoxy]-",90.83,343674,929-37-3,C6H12O3,Lactic acid,90.72,106653,50-21-5,C3H6O3,"[1,4,7]Trioxonane",90.72,106689,27725-91-3,C6H12O3,"Ethanol, 2-[2-(2-methylpropoxy)ethoxy]-",90.64,108881,18912-80-6,C8H18O3,"Ethanol, 2-[2-(ethenyloxy)ethoxy]-",90.42,113394,929-37-3,C6H12O3,"3,6,9,12,15-Pentaoxanonadecan-1-ol",90.39,113396,1786-94-3,C14H30O6,"3,6,9,12-Tetraoxahexadecan-1-ol",90.36,109802,1559-34-8,C12H26O5,Pentaethylene glycol,90.23,114411,4792-15-8,C10H22O6,Pentaethylene glycol,89.75,343967,4792-15-8,C10H22O6,"Butanamide, 2-hydroxy-N,3,3-trimethyl-",89.73,274670,87919-98-0,C7H15NO2,Propyl nitrite,89.71,272119,543-67-9,C3H7NO2,Hexaethylene glycol,89.65,343968,2615-15-8,C12H26O7,"1-Methyl-1-(2,2-dimethylpropyl)oxy-1-silacyclobutane",89.44,274867,,C9H20OSi,"1,4,7,10,13,16-Hexaoxacyclooctadecane",89.17,113388,17455-13-9,C12H24O6,"3,3-Dimethoxy-2-butanone",89.13,333406,21983-72-2,C6H12O3,"1,4,7,10,13,16-Hexaoxacyclooctadecane",89.1,343963,17455-13-9,C12H24O6,Hexaethylene glycol,89.1,114412,2615-15-8,C12H26O7
22,10,3.2118,100,"Ethanol, 2-[2-(2-methylpropoxy)ethoxy]-",88.18,108881,18912-80-6,C8H18O3,Lactic acid,85.68,106653,50-21-5,C3H6O3,"3,6,9,12,15-Pentaoxanonadecan-1-ol",85.44,343730,1786-94-3,C14H30O6,Pentaethylene glycol,84.68,343978,4792-15-8,C10H22O6,"1,4,7,10,13,16-Hexaoxacyclooctadecane",84.49,113388,17455-13-9,C12H24O6,"3,6,9,12-Tetraoxahexadecan-1-ol",84.43,109802,1559-34-8,C12H26O5,Pentaethylene glycol,84.34,343967,4792-15-8,C10H22O6,"Acetic acid, [(1-methylpropyl)thio]-",84.18,232157,22683-43-8,C6H12O2S,Hexaethylene glycol,84.13,343968,2615-15-8,C12H26O7,"3,6,9,12,15-Pentaoxanonadecan-1-ol",84.11,113396,1786-94-3,C14H30O6,Pentaethylene glycol,84,114411,4792-15-8,C10H22O6,"1,4,7,10,13,16-Hexaoxacyclooctadecane",84,343664,17455-13-9,C12H24O6,"1,4,7,10,13,16-Hexaoxacyclooctadecane",83.94,343963,17455-13-9,C12H24O6,Heptaethylene glycol,83.91,343969,5617-32-3,C14H30O8,"Acetic acid, [(aminocarbonyl)amino]oxo-",83.7,86631,585-05-7,C3H4N2O4,"15,15'-Bi-1,4,7,10,13-pentaoxacyclohexadecane",83.69,274896,109773-67-3,C22H42O10,"3-(2,5,8,11,14-Pentaoxacyclohexadecyl)-1,5,8,11,14,17-hexooxacyclononadecane",83.69,274846,,C24H46O11,Triethylene glycol,83.66,109826,112-27-6,C6H14O4,"1-Methyl-1-(2,2-dimethylpropyl)oxy-1-silacyclobutane",83.47,274867,,C9H20OSi,"3,6,9,12-Tetraoxahexadecan-1-ol",83.38,343729,1559-34-8,C12H26O5
