"","AlignID","Factor","tmean","FoundIn","4_Blank","109_QC","110_QC","23_QC","29_QC","35_QC","50_QC","56_QC","62_QC","7_QC","77_QC","8_QC","83_QC","90_QC","96_QC","10_GC_Neg","100_MB_CPos2","101_GC_Neg","102_GC_0","103_GC_Pos","104_GC_2","105_GC_A","106_GC_1","107_GC_C","108_GC_B","11_GC_0","12_GC_Pos","13_GC_2","14_GC_A","15_GC_1","16_GC_C","17_GC_B","18_MB_CNeg0","19_MB_CNeg2","20_MB_APos2","21_MB_BPos1","22_MB_APos1","24_MB_ANeg0","25_MB_CPos2","26_MB_BPos0","27_MB_CNeg0","28_MB_APos2","30_MB_ANeg1","31_MB_APos2","32_MB_APos0","33_MB_CNeg0","34_MB_BPos0","37_GC_Neg","38_GC_0","39_GC_Pos","40_GC_2","41_GC_A","42_GC_1","43_GC_C","44_GC_B","45_MB_APos0","46_MB_BPos2","47_MB_ANeg1","48_MB_CNeg2","49_MB_CPos0","51_MB_CNeg2","52_MB_CNeg1","53_MB_BPos1","54_MB_APos1","55_MB_BNeg0","57_MB_APos1","58_MB_ANeg2","59_MB_BPos2","60_MB_CPos2","61_MB_BNeg1","64_GC_Neg","65_GC_0","66_GC_Pos","67_GC_2","68_GC_A","69_GC_1","70_GC_C","71_GC_B","72_MB_ANeg2","73_MB_BPos2","74_MB_CPos0","75_MB_BNeg1","76_MB_ANeg1","78_MB_APos0","79_MB_BNeg1","80_MB_CPos1","81_MB_BPos0","82_MB_ANeg0","85_MB_BPos1","86_MB_CNeg1","87_MB_BNeg2","88_MB_CPos1","89_MB_BNeg0","91_MB_CNeg1","92_MB_CPos0","93_MB_BNeg0","94_MB_ANeg0","95_MB_BNeg2","97_MB_ANeg2","98_MB_CPos1","99_MB_BNeg2"
"1",1,"Factor #1",3.1007,101,160.9355,949.4078,972.1393,774.9022,732.702,603.7768,768.8032,689.8607,818.9431,728.601,728.5284,740.9768,699.8089,853.941,639.0161,437.8152,654,314.1237,1299.6,255.1626,308.9522,385.7155,1679.379,1242.031,524.3631,395.7368,1116.361,916.9038,537.1128,848.0482,885.9402,771.0203,1273.924,1092.886,384.7628,547,704.9708,374.3152,635,349.9419,1505.467,450.5863,501.3742,479.5432,504.0361,1396.556,360.6932,596.7858,391.2237,1144.65,1046.926,440.3852,1042.987,1156.118,1088.478,460.2141,924.0252,503.4783,498,291.5454,1907.23,1322.206,713,655.3724,276.3846,739.341,1109.771,783.758,973,2292,647.2182,461.4868,522,1081.768,590.3358,1134.73,1048.805,1017.38,1019.332,910.9987,273.566,1628,340.5024,410.7152,1819,504.8375,323.4075,328.0506,1360.39,1312.232,550,448.6723,194.8788,1098.994,225.7336,303.1026,453.3566,1512.895,1181.357,448.4503,1624.102
"2",5,"Factor #5",3.1015,101,154.6871,1003.13,1045.492,954.467,750.4201,646.2343,778.1383,702.0387,886.0156,775.5962,769.3029,757.1725,811.1072,853.941,641.8899,481.6479,2337.983,282.6178,1429.757,119.1036,278.6524,306.4274,1679.379,1340.505,352.531,395.7368,1116.361,896.4127,537.1128,753.744,831.3139,698.4534,1212.863,1189.192,234.9801,1661.88,214.3913,300.3658,2178.24,336.4551,1762.697,369.5996,475.1532,417.1644,504.1862,1483.902,275.2846,560.9869,391.2237,1144.65,1111.757,449.2707,1133.585,1274.079,1098.634,438.554,680.7655,443.8509,1181.99,207.8024,1726.493,1370.298,1308.34,155.2609,210.8305,148.9565,580,523.026,2053.444,1020,613.6544,461.4868,1370.127,1105.002,572.8084,1120.493,1005.947,1017.38,1036.521,420.1756,158.7358,3796.335,312.1958,410.7152,1819,430.674,295.1825,276.3424,1353.082,1303.324,1547.067,397.3628,170.4357,1135.529,76.90514,254.9118,293.0531,1496.815,1171.292,383.6901,1747.064
"3",3,"Factor #3",3.1055,101,81.57464,1003.13,1045.492,898.829,750.4201,646.2343,778.1383,692.5047,886.0156,775.5962,769.3029,757.1725,811.1072,853.941,641.8899,513.8631,2327.706,276.5048,1429.757,148.6465,268.6002,339.6437,1679.379,1340.505,403.4308,395.7368,1116.361,896.4127,488.8867,753.744,831.3139,764.6253,1277.986,1189.192,248.6633,1660.839,704.9708,317.1329,2268.848,190.0216,1945.005,346.4887,475.3207,212.0417,504.1862,1496.986,260.2817,575.4266,391.2237,1144.65,1111.757,456.8625,1133.585,1274.079,1098.634,460.2141,240.9611,453.9135,1181.99,151.4706,1907.23,1370.298,1381.364,677.8417,207.4026,924.4224,1172.444,567.0226,607,4983.69,514.5088,458.6504,1370.127,1105.002,560.4571,1134.73,1005.947,1017.38,1036.521,283.5448,148.9941,1628,206.1411,410.7152,1647,377.1478,87.76587,263.6919,1360.39,1312.232,1593.185,421.4686,164.9968,1135.529,141.9414,261.9379,303.5915,1534.187,1171.292,402.1217,1747.064
"4",2,"Factor #2",3.1078,101,86.24864,949.4078,947.94,785.105,732.702,642.6691,768.8032,706.2278,816.2497,768.4931,728.5284,721.3683,729.3994,849.401,656.2964,437.8152,616,169.2685,1274.407,112.6386,83.43525,186.3666,1679.379,1242.031,83.56608,329.8804,1072.717,923.564,345.9265,883.3519,885.9402,827.3228,1173.478,1092.886,146.8758,1597.777,622.0069,293.7546,520,140.1762,517,213.316,242.9966,278.1316,525.7746,1483.902,163.5498,393.0543,229.0038,1144.65,1035.999,240.0595,1042.987,1149.348,1088.478,350.4756,81.65739,286.4109,1145.436,98.21193,1726.493,1316.544,1361.852,397.9282,161.3998,424.3526,582,534.7655,901,1020,380.2254,294.7239,1250.702,1081.768,355.0341,1088.09,1048.805,1017.38,1019.332,60.85213,206.8615,1475,111.1583,244.9715,3357.506,430.8211,128.2723,115.8862,1353.082,1215.86,1646.319,362.6229,146.0806,1098.994,205.349,160.5943,112.8444,1428.975,1181.357,284.157,1673.181
"6",6,"Factor #6",3.8407,101,7.9677,79,109.8261,286.6957,306.9565,285.7391,216.6087,167.7388,224.2609,323.9565,208.5652,355.2609,166.9565,200.8696,92.26087,513,237.1739,95,16.84352,163.4348,83.0353,113.913,63.30435,93.04348,112.2174,372.6957,280.1304,378.1739,309.0435,278.1304,386.7826,207.913,522.4783,121.5652,274.3043,91.56522,576,317.6957,807,81.78261,477.1739,240.6087,262.6522,246.4783,361.1304,365.5217,118.913,379.1304,304.0435,135.2174,257.2221,202.8696,216.0435,246.8696,164.8696,312.8696,802,266.1739,115.3913,227.6087,103.5652,146.1739,42.61496,253.9565,118.2174,333.087,54.74775,497.9565,389.7826,88.30435,258.3478,223.6087,134.6522,210.9565,252.2609,194,159.1739,148.6957,17.20742,541.1304,134.0435,33.88394,107.7391,159.2609,55.07253,117.5652,14.22465,89.52174,69.91469,86.95652,42.02808,264.3043,128.1304,65.86957,138.2609,91.56522,80.78261,59.86957,80.26087,111.0435,74.52174
"7",9,"Factor #9",4.0744,101,137.4184,454.9584,460.7145,1303,907,1224.619,722,624,713,1152.201,631,1141.689,517,577.866,519,662,864,406.1014,237.3702,499.7891,338.2739,383.7099,291.8405,128.0429,543.8257,1029,1003,1351.467,1034,788,536,996,1416,571.6174,722,267.8739,1631,605,2395.418,411.5547,1314,981,1154,831,1771.446,677,434.2295,1167,647,747.8658,1116,777,531,709,678.7945,1111,902,886,378.3794,606,460.3208,556.9474,118.4273,624,568,1185,474.5474,2702.796,1977,207.4895,1131,520,517.2508,774,636,511,742.56,484.2127,284.7354,1123,537,119.1193,355.8298,772,144.3231,822,172.364,384.6952,101.8757,389.2955,331.6576,764.2962,535.5138,394.8755,568.8785,328.6724,457.9783,267.6933,271.8715,603,143.7881
"8",13,"Factor #13",4.0815,101,132.1124,454.9584,460.7145,1416.296,1367.958,1052.795,678.2897,884.8907,758.9757,612.7297,617.8672,1106.602,662.3801,577.866,456.5566,977.7305,720.1972,401.5362,237.3702,486.876,338.2739,383.7099,291.8405,104.3826,543.8257,528,816.8161,1334.989,1230.057,1159.38,1234.036,875.2126,984,571.6174,1058.558,267.8739,2305.891,1081.686,2337.513,411.5547,2050.805,767.9932,641.5622,706.0029,1415.458,930.5995,434.2295,579,1134.339,635.7842,1140.917,743.3853,813.2492,1114.801,678.7945,1276.366,2678.902,1018.354,378.3794,828.7229,460.3208,556.9474,118.4273,641.3126,720.681,1087.239,474.5474,821.1248,933.444,207.4895,662,473.4064,517.2508,817.0224,575.2857,523.395,741.473,484.2127,284.7354,2405.213,546.9454,118.9915,345.7863,867.8214,144.073,868.4126,98.29989,384.6952,101.8757,389.2955,331.6576,764.2962,535.5138,394.8755,568.8785,328.6724,434.3261,267.6933,271.8715,568.3059,225.1053
"9",7,"Factor #7",4.0818,101,137.4184,454.9584,460.7145,1419,1370,1023,1020,968,724,1119,631,1147,597,560,521,1907,1028,406.1014,237.3702,499.7891,338.2739,383.7099,291.8405,139.1091,534,1228,1079,1361,1383,1137,1279,1176,1702,537,1098,267.8739,2272,1084,2416,411.5547,2035,1103,1126,1130,1736,1577,434.2295,1791,1312,734,1123,1007,799,1101,606,1289,2938,1102,378.3794,827,460.3208,546,118.4273,1422,696,1299,474.5474,2712,1977,207.4895,1128,813,508,886,816,513,727,484.2127,284.7354,2357,546.9454,119.1355,355.8298,936,145.0535,922,172.364,384.6952,101.8757,389.2955,331.6576,750,522,394.8755,559,328.6724,457.9783,267.6933,271.8715,622,225.1053
"10",8,"Factor #8",4.0842,101,137.4184,454.9584,460.7145,1134,1393.436,704,1037.505,923,744,1132,650.3127,1121,628,577.866,532.6435,1886,971,406.1014,237.3702,499.7891,338.2739,383.7099,291.8405,142.0788,543.8257,1014,1037,1246,1380,1137,1200,1064,1702,571.6174,1195,267.8739,2272,1079,2416,411.5547,2035,981,627,651,1653,1491,434.2295,1746,1334.643,720,1119,1020,799,1122.497,632,1339.681,2193,1095,378.3794,688,460.3208,556.9474,118.4273,1397,613,1299,474.5474,2712,1977,207.4895,1128,648,517.2508,808,771,545.3081,726,484.2127,284.7354,2357,546.9454,119.3267,355.8298,833,145.6078,912,172.364,384.6952,85.5428,389.2955,331.6576,725,535.5138,394.8755,568.8785,328.6724,457.9783,267.6933,271.8715,614.2624,195.5856
"11",11,"Factor #11",4.086,101,137.4184,454.9584,460.7145,845,809,1224.619,502,867,758.9757,1152.201,650.3127,1141.689,662.3801,577.866,532.6435,1938.252,1045.687,406.1014,237.3702,499.7891,338.2739,383.7099,291.8405,128.6598,543.8257,1250.467,693,1384.597,1404.354,1159.38,1279.13,1197.629,1593,571.6174,1213.737,267.8739,2246.975,560,2413.644,411.5547,2068.283,1123.587,1130,981,1771.446,616,434.2295,1792,564,747.8658,1144.035,1038.375,655,1122.497,521,880,726,1122.094,378.3794,843.8533,460.3208,556.9474,118.4273,1449.493,720.681,1324.84,474.5474,2759.064,1164,207.4895,616,829.7444,517.2508,912.2833,854.9555,545.3081,742.56,484.2127,284.7354,659,546.9454,120.4297,355.8298,963.9519,146.5429,940.3691,96.03215,384.6952,101.8757,389.2955,331.6576,764.2962,535.5138,394.8755,568.8785,328.6724,457.9783,267.6933,271.8715,638.2189,149.7044
